CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX
32559,49877,70050,25952,25198,58819,86216,26709,40455
30117,48335,68331,24939,23512,57038,83441,25287,38491
27728,47442,67581,24389,22115,55877,81952,24212,37304
26276,47046,67545,24171,21175,55471,81742,23524,36677
25480,47198,68458,24405,20698,55574,82701,23220,36441
24787,47971,70789,25243,20528,56712,85452,23149,36638
24564,49520,73873,26462,20681,58933,89500,23398,37684
24841,51406,76194,28200,21222,60630,93623,24049,39330
25431,52538,78072,30122,22453,62317,97949,25058,40817
25888,53368,78538,31287,23810,63429,99840,25618,42470
27120,53414,78042,31613,25204,63539,99432,26355,43660
28520,52606,76623,31497,26398,62806,97991,26745,44178
29512,51375,74555,31060,26910,61442,96630,26936,43916
30011,50077,72345,30499,26855,59860,94998,26862,43291
29984,48868,70261,29934,26473,58478,93674,26575,42508
29891,48153,69046,29756,25980,57303,93006,26266,42017
29818,48035,69284,30307,25817,57127,92707,26252,41919
29816,48628,71011,31668,25645,57813,92999,26347,42087
29893,49783,75906,33981,25726,59704,96066,26678,42774
29835,52018,78887,33615,25725,62763,100680,26952,43767
30481,52626,78260,32463,26232,62558,99196,28013,43783
33144,51709,76563,31061,27136,61031,96235,28846,42834
33107,50173,73667,29190,26793,58775,91983,28377,41387
32131,48085,70126,27256,25988,55747,87027,27390,39417
30624,45757,67379,25692,24747,53364,82629,25985,37313
28488,44006,65484,24588,23291,51545,76580,24659,35450
26404,42026,65133,24358,21980,50865,78634,23527,32732
25176,42251,65070,23994,21063,50392,76568,22935,33289
24250,42706,66462,23980,20619,51071,79422,22390,33050
23228,43063,68772,24509,21054,52222,81573,22403,33202
24111,44086,71102,25278,20579,54068,85075,22739,34189
24029,45650,72393,26362,21095,55179,89271,23367,35501
24341,47283,72139,27721,22131,56181,92571,24163,36482
24903,48833,70919,28769,23462,56551,94302,24677,37641
25572,49580,69532,29222,24877,56657,94157,25223,38387
26379,49958,68484,29291,26111,56530,93853,25639,38656
27312,50469,66977,29074,26978,56132,93390,25908,38602
28141,50404,65536,28586,27325,55458,92615,26041,37994
28463,50093,64381,28056,27216,54772,91383,25926,37261
28561,49883,64323,27931,27079,54606,90544,25766,36863
28594,50007,65258,28373,26820,55293,90540,25810,36947
28592,50651,66904,29325,26773,56563,90953,26050,37350
