Counter,id,operational_status,capacity_mw,technology_description,OEO_region
1761,4472,existing,2.6,Petroleum Liquids,NE
1762,4473,existing,2.6,Petroleum Liquids,NE
1777,4492,existing,1.6,Landfill Gas,SE
1778,4493,existing,18.7,Natural Gas Internal Combustion Engine,TX
1779,4494,existing,18.7,Natural Gas Internal Combustion Engine,TX
1780,4495,existing,18.7,Natural Gas Internal Combustion Engine,TX
1781,4496,existing,18.7,Natural Gas Internal Combustion Engine,TX
1782,4497,existing,18.7,Natural Gas Internal Combustion Engine,TX
1783,4498,existing,18.7,Natural Gas Internal Combustion Engine,TX
1784,4499,existing,18.7,Natural Gas Internal Combustion Engine,TX
1785,4500,existing,18.7,Natural Gas Internal Combustion Engine,TX
1786,4501,existing,18.7,Natural Gas Internal Combustion Engine,TX
1787,4502,existing,18.7,Natural Gas Internal Combustion Engine,TX
1788,4503,existing,18.7,Natural Gas Internal Combustion Engine,TX
1789,4504,existing,18.7,Natural Gas Internal Combustion Engine,TX
1798,4515,existing,1.8,Petroleum Liquids,N_CEN
1820,4541,existing,271,Natural Gas Fired Combined Cycle,SW
1821,4542,existing,174,Natural Gas Fired Combined Cycle,SW
1822,4543,existing,174,Natural Gas Fired Combined Cycle,SW
1824,4546,existing,1.9,Other Waste Biomass,SE
1833,4555,existing,233.7,Natural Gas Fired Combined Cycle,MID_AT
1834,4556,existing,310.2,Natural Gas Fired Combined Cycle,MID_AT
1835,4557,existing,233.7,Natural Gas Fired Combined Cycle,SE
1836,4558,existing,310.2,Natural Gas Fired Combined Cycle,SE
1853,4575,existing,2,Landfill Gas,CEN
1854,4576,existing,2,Landfill Gas,CEN
1865,4587,existing,2,Landfill Gas,CA
1866,4588,existing,2,Landfill Gas,CA
1873,4599,existing,3.8,Other Natural Gas,SW
1874,4600,existing,6,Other Natural Gas,SW
1875,4601,existing,1.1,Other Natural Gas,CA
1876,4602,existing,1.1,Other Natural Gas,CA
1891,4619,existing,1,Other Natural Gas,CA
1892,4620,existing,0.8,Other Waste Biomass,N_CEN
1894,4622,existing,0.9,Other Waste Biomass,N_CEN
1897,4625,existing,3.3,Other Gases,N_CEN
1898,4626,existing,3.3,Other Gases,N_CEN
1899,4627,existing,3.3,Other Gases,N_CEN
1900,4628,existing,3.3,Other Gases,N_CEN
1901,4629,existing,6.3,Landfill Gas,NE
1902,4630,existing,6.3,Landfill Gas,NE
1903,4631,existing,6.3,Landfill Gas,NE
1904,4632,existing,6.3,Landfill Gas,NE
1905,4633,existing,10.5,Landfill Gas,NE
1916,4648,existing,1.5,Landfill Gas,SE
1917,4649,existing,1.5,Landfill Gas,SE
1934,4667,existing,1.6,Landfill Gas,SE
1935,4668,existing,1.6,Landfill Gas,SE
1936,4669,existing,1.6,Landfill Gas,SE
1937,4670,existing,1.6,Landfill Gas,SE
1938,4671,existing,493,Natural Gas Fired Combined Cycle,MID_AT
1939,4672,existing,310.3,Natural Gas Fired Combined Cycle,MID_AT
1940,4673,existing,310.3,Natural Gas Fired Combined Cycle,MID_AT
1956,4690,existing,21,Natural Gas Fired Combustion Turbine,N_CEN
1958,4692,existing,2,Petroleum Liquids,N_CEN
1959,4693,existing,2,Petroleum Liquids,N_CEN
1972,4706,existing,1,Other Waste Biomass,N_CEN
1997,4736,existing,1.6,Other Waste Biomass,SE
1998,4737,existing,1.6,Other Waste Biomass,SE
2006,4746,existing,3.2,Landfill Gas,SW
2007,4747,existing,1.6,Landfill Gas,SE
2032,4772,existing,3.2,Landfill Gas,MID_AT
2052,4792,existing,43.2,Natural Gas Fired Combined Cycle,N_CEN
