,id,operational_status,capacity_mw,technology_description,OEO_region
531,2925,existing,2,Solar Photovoltaic,MID_AT
532,2926,existing,2,Solar Photovoltaic,MID_AT
533,2927,existing,2,Solar Photovoltaic,MID_AT
534,2928,existing,2,Solar Photovoltaic,MID_AT
535,2929,existing,2,Solar Photovoltaic,MID_AT
536,2930,existing,2,Solar Photovoltaic,MID_AT
540,2934,existing,10,Solar Photovoltaic,SE
541,2935,existing,71.4,Solar Photovoltaic,SE
542,2936,existing,174,Onshore Wind Turbine,CEN
544,2938,existing,300,Onshore Wind Turbine,CEN
545,2941,existing,1,Solar Photovoltaic,NE
546,2942,existing,2.3,Solar Photovoltaic,N_CEN
547,2943,existing,5,Solar Photovoltaic,SE
554,2953,existing,200,Onshore Wind Turbine,TX
555,2954,existing,1.4,Solar Photovoltaic,NE
558,2958,existing,1.5,Solar Photovoltaic,NE
559,2959,existing,107.4,Onshore Wind Turbine,CEN
560,2960,existing,107.4,Onshore Wind Turbine,CEN
561,2961,existing,16,Solar Photovoltaic,MID_AT
562,2962,existing,20,Solar Photovoltaic,MID_AT
563,2963,existing,5,Solar Photovoltaic,SE
564,2964,existing,6.8,Solar Photovoltaic,SE
565,2965,existing,5,Solar Photovoltaic,SE
566,2966,existing,2,Solar Photovoltaic,SE
567,2967,existing,3.9,Solar Photovoltaic,N_CEN
568,2968,existing,7,Solar Photovoltaic,N_CEN
569,2970,existing,2,Solar Photovoltaic,SE
570,2974,existing,1.2,Solar Photovoltaic,NE
571,2977,existing,20,Solar Photovoltaic,MID_AT
572,2978,existing,6.5,Solar Photovoltaic,NE
573,2979,existing,208.3,Onshore Wind Turbine,CEN
576,2983,existing,8,Solar Photovoltaic,NW
577,2984,existing,3,Solar Photovoltaic,NE
578,2985,existing,1,Solar Photovoltaic,NE
579,2986,existing,2,Solar Photovoltaic,NE
580,2987,existing,4,Solar Photovoltaic,NE
581,2988,existing,60,Solar Photovoltaic,MID_AT
582,2990,existing,3.5,Solar Photovoltaic,NE
584,2992,existing,1,Solar Photovoltaic,NE
585,2993,existing,3.5,Solar Photovoltaic,NE
587,2996,existing,1.5,Solar Photovoltaic,NE
588,2997,existing,10,Solar Photovoltaic,MID_AT
589,2998,existing,4.4,Solar Photovoltaic,SW
590,2999,existing,5,Solar Photovoltaic,SE
591,3001,existing,5.3,Solar Photovoltaic,SE
592,3002,existing,5,Solar Photovoltaic,SE
593,3003,existing,5,Solar Photovoltaic,SE
594,3004,existing,5,Solar Photovoltaic,SE
597,3009,existing,249.9,Onshore Wind Turbine,CEN
598,3010,existing,54,Solar Photovoltaic,CA
599,3011,existing,54,Solar Photovoltaic,CA
600,3018,existing,184,Onshore Wind Turbine,N_CEN
601,3019,existing,2.5,Solar Photovoltaic,SE
602,3020,existing,1,Solar Photovoltaic,SE
603,3022,existing,79.2,Solar Photovoltaic,SE
604,3024,existing,150,Solar Photovoltaic,TX
605,3025,existing,5,Solar Photovoltaic,SE
606,3026,existing,5,Solar Photovoltaic,SE
607,3027,existing,5,Solar Photovoltaic,SE
608,3028,existing,5,Solar Photovoltaic,SE
609,3029,existing,5,Solar Photovoltaic,SE
610,3030,existing,5,Solar Photovoltaic,SE
611,3031,existing,225,Onshore Wind Turbine,CEN
612,3032,existing,2.1,Solar Photovoltaic,N_CEN
623,3050,existing,4.9,Solar Photovoltaic,NE
629,3057,existing,20,Solar Photovoltaic,CA
630,3059,existing,8,Solar Photovoltaic,SE
631,3060,existing,16,Solar Photovoltaic,SE
632,3061,existing,52.5,Solar Photovoltaic,SE
633,3062,existing,5,Solar Photovoltaic,SE
634,3063,existing,50,Solar Photovoltaic,SE
635,3066,existing,5,Solar Photovoltaic,SE
636,3067,existing,9.9,Solar Photovoltaic,NW
637,3068,existing,1.9,Solar Photovoltaic,NE
638,3071,existing,147.2,Onshore Wind Turbine,CEN
639,3072,existing,1,Solar Photovoltaic,SE
640,3073,existing,1.3,Solar Photovoltaic,NE
641,3074,existing,1.9,Onshore Wind Turbine,N_CEN
642,3075,existing,35,Solar Photovoltaic,SE
643,3076,existing,71,Solar Photovoltaic,SE
644,3077,existing,5,Solar Photovoltaic,SE
645,3078,existing,2.2,Solar Photovoltaic,NE
647,3080,existing,6.8,Solar Photovoltaic,SE
648,3081,existing,8.5,Solar Photovoltaic,N_CEN
649,3082,existing,5.5,Solar Photovoltaic,N_CEN
650,3083,existing,10,Solar Photovoltaic,N_CEN
651,3084,existing,4,Solar Photovoltaic,N_CEN
652,3085,existing,10,Solar Photovoltaic,N_CEN
653,3086,existing,3.5,Solar Photovoltaic,N_CEN
654,3087,existing,3.5,Solar Photovoltaic,N_CEN
655,3088,existing,7.5,Solar Photovoltaic,N_CEN
656,3089,existing,4.5,Solar Photovoltaic,N_CEN
657,3090,existing,4.5,Solar Photovoltaic,N_CEN
658,3091,existing,5.5,Solar Photovoltaic,N_CEN
659,3092,existing,6.5,Solar Photovoltaic,N_CEN
660,3093,existing,6.5,Solar Photovoltaic,N_CEN
661,3094,existing,4,Solar Photovoltaic,N_CEN
662,3095,existing,6,Solar Photovoltaic,N_CEN
663,3096,existing,10,Solar Photovoltaic,N_CEN
664,3097,existing,2,Solar Photovoltaic,NE
667,3100,existing,3,Solar Photovoltaic,CA
668,3101,existing,1.6,Solar Photovoltaic,SE
669,3102,existing,10,Solar Photovoltaic,SW
670,3104,existing,3,Solar Photovoltaic,CA
671,3105,existing,2,Solar Photovoltaic,NE
672,3106,existing,2,Solar Photovoltaic,NE
674,3111,existing,125.6,Onshore Wind Turbine,TX
675,3112,existing,1,Solar Photovoltaic,MID_AT
676,3113,existing,1,Solar Photovoltaic,MID_AT
677,3114,existing,1.7,Solar Photovoltaic,MID_AT
678,3115,existing,2,Solar Photovoltaic,NE
679,3116,existing,2,Solar Photovoltaic,SW
680,3117,existing,1.5,Solar Photovoltaic,MID_AT
681,3118,existing,1.3,Solar Photovoltaic,NE
682,3119,existing,3.2,Solar Photovoltaic,NE
683,3120,existing,2.5,Solar Photovoltaic,NE
684,3121,existing,2,Solar Photovoltaic,NE
685,3124,existing,4,Solar Photovoltaic,MID_AT
